section,question,answer
Timeline,1619: Synod of Dordrecht,Controversy had occurred because of the rise of Arminianism (a school of thought that differed from mainstream Protestantism on issues relating to how a believer achieves salvation). Arminianism was eventually condemned by the Synod but the meeting did help to moderate more conservative elements within the Dutch ecclesiastical establishment. The Synod is also notable for its decision to invite members of Reformed churches from outside the Netherlands to participate in its proceedings.
Timeline,1620: Battle of the White Mountain,"Early battle in the Thirty Years’ War, saw the decisive defeat of the forces of Frederick the ‘winter king’ who had been elected king of Bohemia in 1619. The defeat ended the Bohemian Uprising and saw Frederick of Styria crowned King of Bohemia. Did little to prevent the development of a larger conflict."
Timeline,1624: Parlement of Paris Requires Automatic Appeal of Cases from Lower courts,The Parlement in Paris was given the power to examine all judgements passed by lower courts. This both increased the power of that body and helped to standardise legal practices across much of France. Standardisation meant that regional practices or local interpretations of laws became harder to sustain.
Timeline,1626: Battle of Lutter,"Crushing defeat of Danish forces by an Imperial army led by Johan Tzerclaes, Count of Tilly. Effectively ended Danish participation in the Thirty Years’ War."
Timeline,1631: Battle of Breitenfeld,"A major defeat of Imperial forces under the Count of Tilly, the Battle saw Swedish and Saxon forces destroy a large army. Led by Swedish king Gustavus Adolphus, the Protestant army routed its Catholic opponents giving the first Protestant victory over Catholic forces in the Thirty Years’ War. Although the conflict continued for some time, Breitenfeld showed that Emperor Ferdinand II’s policies, such as the 1629 edict of Restitution would not be implemented unopposed. Indeed, it has been argued that Protestant victory at Breitenfeld helped save the Protestant cause. The victory also proved that Gustavus Adolphus’s tactics were revolutionary and successful and cemented Sweden’s reputation as a European power until Swedish forces were defeated decisively at the Battle of Nördlingen in 1634."
Timeline,1632: Battle of Lüzten,"Although Swedish troops soundly defeated forces of the Holy Roman Empire and Catholic league at this battle, Swedish king Gustavus Adolphus was killed at the height of battle. For the protestant cause this was a significant setback, since Gustavus had become a leader due to his dynamic personality."
Timeline,1633: Galileo’s trial in rome,"Caught up in the politics of the Papal court, Galileo was declared a heretic and brought to a trial before the Roman Inquisition. Forced to choose between his work and the threat of excommunication from the Church, Galileo reluctantly recanted and was heavily sanctioned by the Church. He lived the rest of his life in house arrest."
Timeline,1634: Battle of Nördlingen,"Imperial forces were able to regain the initiative with their decisive defeat of combined Swedish and Protestant forces at this battle. Joining an imperial army with Spanish forces marching north from Italy, Ferdinand of Hungary presented a threat to Protestant territories in southern Germany that the latter could not ignore."
Timeline,1635: peace of prague,"Despite important foreign involvement, until the mid-1630s the Thirty Years’ War had been largely a civil war within the HRE. Neither side had been able to make definitive gains. Finally, exhausted by 1635, both major groups within the Empire agreed to a peace treaty ending the civil war. The treaty saw the Edict of Restitution rescinded, the forbidding of intra-Empire alliances, the establishment of an Imperial army and the disbandment of territorial armies, and a general amnesty for all princes and individuals who had fought against the Emperor. Although this peace did not end all hostilities of solve the root problems, it was a major steppingstone to the peace of Westphalia."
Timeline,1640: Parlement of Paris forbids prosecutions for witchcraft within its jurisdiction,"Because it automatically reviewed the judgements of lower courts within its area of oversight, the Paris parlement examined all witchcraft convictions. With the local panic removed, the number of prosecutions upheld began to drop significantly after about 1620. By the end of the 1630s, the quality and effectiveness of witchcraft prosecutions had been brought into considerable question and the value of such trials became highly suspect. Therefore, in 1640, the parlement in Paris refused to allow any prosecutions of witchcraft. It should be noted that this did not necessarily mean that suspected witches stopped being tried in other courts but is a general indication of the lessening of the panic over witchcraft in western Europe."
Timeline,1643: Battle of Rocroi,A major engagement in the phase of the Thirty Years’ War that saw France and Spain in direct conflict. Rocroi was a fortified town with great strategic value to Spanish forces defending the Spanish Netherlands. The French soundly defeated the Spanish forces.
Timeline,1647: Masaniello leads ani-spanish revolt in naples,"Naples was a Spanish possession in the 17th century, the conflict was deeply unpopular due to taxation and riots began, where Tommaso Aniello (Masaniello) stepped forward and became the populist leader of a full-scale revolt. Ultimately he was not able to maintain balance, in part due to his increasingly erratic behaviour. He was eventually murdered but Spanish control over the city remained shaky."
Timeline,1648: Peace of münster,"Dutch importance in the European context had reached such a level that the Republic was invited to participate in the negotiations for the Peace of Westphalia despite not being a formally recognised state. Representatives of the two sides met in the city of Münster where the majority of the negotiations took place. Ultimately, the Spanish were willing to recognise the Dutch Republic as a sovereign state, which led to similar acceptance across Europe."
Timeline,1648: Peace of Westphalia,"The Thirty Years’ War was a protracted international conflict that started as a religious struggle but spread into a larger war involving all major European states. The Peace of Westphalia, signed in 1648, ended that conflict. It also represented a major realignment of European boundaries by recognising the virtual sovereignty of the German states within the Holy Roman Empire, establishing the independence of the Dutch Republic, exempting the Swiss Confederation from imperial control, and seeing strategically important territories given to Sweden, France, and Brandenburg. Protestants, including Lutherans as well as Calvinists, made further gains in areas of political recognition and official tolerance. The Peace is also credited with establishing the modern European state system and diplomatic practices still in use today."
Timeline,1648: Uprising in moscow against taxation,"Russian finances were decimated. Young tsar, Alexis I and his chief advisor Boris Morozov attempted to reform taxation and thus grow state revenues and imposed a universal salt tax. Because non-nobles paid the majority of taxes, this led to considerable economic distress for the most vulnerable members of Russian society. The Rebellion was put down and increased Alexis’ desire to press through with legal and military reforms that further entrenched state power in Russian society."
Timeline,1659: Peace of the Pyrenees,"The Treaty of Westphalia ended the general conflict of the Thirty Years’ War, but France and Spain had fought for another 11 years. France was in a strong bargaining position. Territorial gains through the Treaty of Westphalia had allowed France to cut the land link between Austria and the Spanish Netherlands and French armies had proven a match for Spanish forces in battle. Long-lasting peace was not achieved and the two states were at war again by 1668."
Timeline,1660: Royal society founded in london,Served as a quasi-governmental body that was able to help develop the sciences.
Timeline,1660: Treaty of copenhagen,"Between 1655 and 1660, states in northern Europe and the Baltic area were embroiled in what was known as the Second Northern War. A coalition led by Sweden attempted to consolidate Swedish territorial gains in eastern Europe. Poland-Lithuania, Demark-Norway, the Habsburgs, and others resisted them. There were many reversals but ultimately Sweden found itself on the defensive. The borders between the major Scandinavian states were established."
Timeline,1666: Académie des sciences founded in paris,"Like the other one, but French and much more aligned to the royal government."
Timeline,1666: Great fire of London,"The fire, aside from highlighting the dangers of living in closely built cities constructed mainly of wood, also destroyed one of the most populous cities in Europe. It was a tense time politically in England, coming so soon after the restoration of the monarchy following the Commonwealth, but ultimately the fire did not lead to any major social upheavals. London was rebuilt, largely in a similar layout to the destroyed street plan"
Timeline,1685: Edict of nantes revoked by louis XIV,"King Henry IV of France had issued the Edict of Nantes in 1598, thereby providing the Huguenots with some degree of religious toleration and state protection. Growing pressure and lobbying convinced King Louis XIV to revoke the edict, as well as call for the destruction of Protestant churches and forces conversion of non-Catholics. This damaged Louis’ international prestige and deprived France of the skills and resources of an important minority as Huguenots took their money and skills and fled to neighbouring Protestant states."
Timeline,1698: Whitehall palace in Westminister is destroyed by fire,"With its destruction and no successful efforts to rebuild a similar structure on the site, royal focus moved away from London and to other palaces, such as the complex at Kensington."
Timeline,1755: Lisbon Earthquake,"A major earthquake, potentially one of the most powerful in recorded history, devastated the Portuguese capital on the morning of 1 November 1755. Coinciding with Enlightenment efforts to understand the natural world through science and observation, the Lisbon earthquake also prompted serious study of seismology."
Timeline,1789: Storming of the bastille,"Built in 1730 and used as a prison for political dissidents, the Bastille fortress had become an emblem of the French monarchy and its oppression and shortcomings. On 14 July 1789, an anti-government mob successfully stormed the fortress, killing its governor and freeing the handful of prisoners held. This was the first act of open rebellion and is considered the start of the French Revolution."
Timeline,1793: Opening of the Louvre palace as a public art gallery,"Following the overthrow of the French monarchy during the early stages of the French Revolution, attention turned towards how to utilize the many buildings and resources formerly owned by the monarchy. These included a vast collection of art, accumulated over many years. In thinking inspired by the Enlightenment, it was decided to turn the Louvre, a large and ornate palace in central Paris, into a gallery accessible to the public."
Timeline,1797: France conquers venice,"By the eighteenth century, however, strong competition from other European states and a resurgent Ottoman Empire had reduced Venice’s reach and influence. Also, Venice was structurally and financially unable to defend itself against the new military threats presented by the French Revolution and the rise of Napoleon Bonaparte. Napoleon’s interest in northern Italy was primarily due to his desire to defeat Austrian forces and take important territories north of Venice. Although neutral, Venice’s position was too strategic to be ignored and both France and Austria were willing to divide Venetian territory in order to best further their own ambitions. Venice’s thousand-year position as an independent European state ended on 18 October 1797 with the signing of the Treaty of Campo Formio."
