section,question,answer
Hefner,Prosperity theology,"A kinder, gentler, “more market-friendly” doctrine with the message that God does not want you to stay poor."
Hefner,Katherine Wiegele,"The Scholar of Investing in miracles, El Shaddai"
Hefner,El Shaddai,Charismatic Catholic grouping in the Philippines that practice prosperity theology
Hefner,The Dhammakaya,Largest and fastest growing of Thailand’s Buddhist temples that uses mass media and slick marketing to advertise its religious services
Hefner,Islam de Marche,Market Islam with great popularity popular in Southeast Asia that is more focussed on individual well-being
Cao,Mianzi,Desire for Wenzhou Chinese communities in Paris to buy church property in terms of a Chinese cultural emphasis
Cao,Why are Christians more hardworking than non-Christians?,Because Christians have to both go to work and go to church
Cao,Migration is the human instinct of?,Seeking upward mobility
Cao,“The Wenzhou model of evangelisation”,"Preachers have been smuggled from Wenzhou into Europe to serve migrant Wenzhou churches, and also girls marrying people from the mainland"
Cao,Theology of the undocumented,"In God’s kingdom, the whole world is a family, nations have their laws but in the Bible there is no such thing as immigration control"
Cao,Contextual theology,To make sense of the imperfect institutional environment in which all of the unlawful practices take place
Greary,Mahaparinirvana sutra,"Four main sites associated with Buddha’s life (place of birth, enlightenment, first discourse and death)"
Greary,Tourism circuits,"Key conduits for interconnection where the movement of people can be managed, serviced and coordinated through a concentration of sites of infrastructure."
Greary,Itinerary,Temporal-spatial carriers of a tourist’s experience
Greary,Look East policy,"A conscious shift on behalf of the Indian state towards a more outward looking demonstration of tourism reflexivity, built around a strategic investment in religion."
Greary,"Investing in the Buddhist circuit, 2014-2018",Describes a guided framework to fast-track tourism growth along the iconic route where Buddha spent his life and unleash job opportunities by developing and promoting a mainstream tourism product.
Greary,Golden triangle,"A tourist circuit that connected the national capital Delhi, Agra and Jaipur"
Greary,Pilgrimage as the ‘centre out there’,Religious circuits have brought a significant level of development and considerable economic dynamism where the sacred and commerce comingle
Goosaert,Title head of Daoist clergy,The heavenly master
Goosaert,Three processions,When the city gods travelled to the altar for vengeful spirits to preside over official sacrifices to placate them
Goosaert,Dispatching heavenly taxes,To burn the spirit money
Goosaert,Drought 1934,Rain-praying rituals were allowed back in because the rituals worked (how people are affected by state projects)
Goosaert,“corporate villages”,Have managed to maintain part of their rights and collective property in the course of the urbanization project
Goosaert,“community offerings”,"Ritual services done for a community usually based on a territory, belying the notion that religion has largely become privatized"
Goosaert,Other name processions,saihui
Goh,Harvey Cox,Secular city represented humanity attaining cultural maturity and autonomous responsibility  change located in urbanization
Goh,Peter Berger,Secularization in modern societies led increasingly to differentiations of life into separately regulating spheres  blossoming of varieties of religious lives and spiritual practices
Goh,Christopher Baker,"Hybrid city as the new key for renewed Christian activism, making a better society by ecumenically engaging other non-Christians to analyse and act on social and political issues"
Goh,#WearWhite for family,Creating a Christian barrier against the LBGT wave through technology
Goh,Who leads the faith community Baptist church?,Lawrence Kong
Goh,Where is Wing Kwong Pentecostal holiness church?,Hong Kong
Goh,Aim of the We Love Hong Kong campaign?,To encourage Hong Kong citizens not to emigrate and to unite for the city regardless of religion and profession
Goh,Aim of LoveSingapore?,To unite churches for revival and the transformation of cities around the world
Goh,Cell group,Fellowship meetings between members living close to each other gathering in a member’s flat
Goh,Seven Wave Harvest,Mass conversions intended by LoveSingapore in 2001
Goh,Territorial apostleship,"Close attention to the geography of the city, that was covered in 26 ‘geo-networks’."
Goh,Benny Ho in Yishun,Noticed that the working class residents were not aspiring to upward class mobility but to earn a basic living. Establishment to help families with material and counselling needs.
Goh,Jericho March,Around the neighbourhood to befriend the residents before any evangelistic activities were organized.
Goh,Yan Fook Church,"In Hong Kong, indistinguishable from any other modern commercial building"
Goh,Blue house Community,Specific type of building style that should be preserved along with its residents. Wanchai Livelihood museum in the lower ground floor unit of the blue house in early 2007
Raymond,Jack Ma’s “Devout Buddhism”,Multibillionaire and former head of China’s e-commerce giant Alibaba discussed Buddhism and mentioned Thailand as a course of Buddhism thought
Raymond,China’s United Front Work Department (UFWD),The organization founded by Mao Tse Tung to conduct the united front work of “rallying all those who can be rallied; uniting with all those who can be united.
Raymond,Soft power,"Frequently employed by China itself when describing its cultural and religious diplomacy, “when one country gets another countries to want what it wants” – Joseph Nye"
Raymond,Influenced Operations,Increased role of the party-state and the UFWD in foreign policy
Raymond,Shared worldviews,To understand China’s Buddhist diplomacy it useful because China as a purveyor of new norms (common destiny)
Raymond,Why did religion fare badly during China’s cultural revolution?,Red Guards came to destroy the “four olds”
Raymond,Why more tolerant stance on religion when Deng Xiaoping?,"Unrealistic to expect religion to die out rapidly, coercion as a means to prevent practice counterproductive. Tolerance with strict provisions expected to be a long-term policy, carried out until religion would disappear."
Raymond,Chinese Academy of Social Sciences (CASS),Advocated for China to put religions to expand soft power and for Buddhism to be put in service of the BRI
Raymond,South China Sea Strategy,"China will promote dialogue between Mahayana and Theravada Buddhist, conduct charity work in Southeast Asia, and build links with Buddhist leaders, including those from Thailand and Cambodia."
Raymond,Quid Pro Quo Buddhism,"In which the local Buddhist clergy, wanting to make themselves visible to the state, needed to make themselves valuable to the state."
Raymond,Obstacles China?,"People from party cannot practice religion publicly, India, risk, not that outspoken compared to other countries."
Raymond,Bilateral relations regime,In which dissimilar polities with fundamentally different worldviews can coexist through an established set of norm and rules of conduct
Mahaseth,Joseph Nye soft power,A soft power’s approach to diplomacy is a non-coercive form in which states may develop their relationships with other states through the commonalities or specialities of their culture and policies.
Mahaseth,Alexander Vuving soft power,"Beauty (shared ideals), Brilliance (high performance), Benignity (something with a variety of factors such as the form or king of protection given by the state)"
Mahaseth,Milton Cummings,"Defines ‘cultural diplomacy’ as a form of diplomacy that aims to encourage the development of cooperation through an “Exchange of ideas, information, art, and other aspects of culture”"
Mahaseth,Martin Zamorano,"Interactions of governments, businesses, citizens etc present a curated cultural, national artistic identity consistent with the curating State’s foreign policy"
Mahaseth,Theravada School,Has a much more strong linkage with the origin of Buddhism in India
Mahaseth,Mahayana school,Is much distinctively impacted by Chinese influence
Mahaseth,What does India have that China does not?,trust
Mahaseth,How should soft power help grow India’s trade and policy relations?,"By promoting its image as peaceful, non-intrusive State which values goodwill and cooperation"
Rots,Alliance of Religions and Conservation (ARC),UK based non-profit organization “a secular body that helps the major religions of the world develop their own environmental programs.
Rots,Jinja Honcho,Administrative organization that oversees the shrines in Japan
Rots,Credibility of the “sustainable Shinto” narrative?,For reconstruction of shrines of Ise in 2013 used wood from own forest. Paradigm because of the long history of deforestation and source depletion.
Rots,Historical processes of Shintoization,"In the course of history some places and practices were configures as “Shinto”, while others were excluded from this category."
Rots,Who opposed the destruction of local shrines and shrine groves brought about by the “shrine merger” policy in the early 20th century?,Minakata kumagusu
Rots,Classical thesis of Lynn White Jr,Alleged that the global environmental crisis is a direct influence of the Judeo Christian episteme
Rots,Chinju no mori,"Refers to the groves surrounding Shinto shrines. Shrines surrounding forests important ecological resources. No longer solely refers to the physical forests surrounding shrines, but employed regularly in mainstream conservative Shinto texts."
Rots,Sennen no Mori no Kai,"Well-organized project founded by Sakurai Takahi in 1917 (food shortage at the time and he started growing rice on a small paddy near the shrine, various reforestation and forest conservation activities)"
Smyer-Yü And Zhen Ma,Ri (either Lha-ri or gnas-ri),"Mountains, weather-makers, environmental flows. Ecological forces of the mountains omnipresent and environ the life of highlanders."
Smyer-Yü And Zhen Ma,Ngak-sde,Tibetan villages
Smyer-Yü And Zhen Ma,The knack of storm prevention,Moving clouds not merely seen as meteorological flows but the outcome of the mountain deities’ purposeful weather-making in reciprocation with local human activities.
Smyer-Yü And Zhen Ma,Long,Forests or woods
Smyer-Yü And Zhen Ma,Long se,Holy hills or sacred groves
Smyer-Yü And Zhen Ma,Meng,place
Smyer-Yü And Zhen Ma,Man,village
Smyer-Yü And Zhen Ma,Se,Spiritual beings
Smyer-Yü And Zhen Ma,Devata,A moralized cosmology of se
Smyer-Yü And Zhen Ma,Dharma Gaia: A Harvest of Essays in Buddhism and ecology,A collection of essays by modern (western) Buddhist notables as defining text marking the ecological transformation of traditional Buddhist teachings from Asia
Monshan Wu,Bense Jiaohui,"Church with local colour, Chinese indigenous Church"
Monshan Wu,Heinrich Frick,"Published the Protestant Missions: Origins, History, Future, which laid out his vision of the evolution of German protestant missionary activity from the early modern period to 1914"
Monshan Wu,What did American liberals place too much emphasis on?,Secular education and medical mission
Monshan Wu,Siegfried Knak,"The missionary director of the Berlin Missionary society (BMS) emerged as the most prominent voice in support of Frick’s ideas about the volkskirche. Supervised missionary work from Germany, and took semi-regular trips to African and Asia to inspect the work."
Monshan Wu,Cheng Jingyi,"Chairman of the National Christian Conference in 1922, deemed the first era of missionary work anti-modern and head of bense church ideals. Argued that for an authentically Chinese Christianity to emerge, it would have to be stripped of its western colours."
Monshan Wu,First independent Christian congregation in China?,Shixing Province under Ling Deyuan
Monshan Wu,Monthly magazine in 1925?,Zhongghau Jidujiau Wenshe
Monshan Wu,Returned Students,Chinese Christians who had studies at liberal seminaries in America and then returned home
Monshan Wu,Susan Pederson quote,"“Whilst the league of nations did not end empire, it helped make the end of empire imaginable"
Winichakul,Thammayut sect,"Challenged the allegedly corrupt sangha establishment at the time, arguing that the latter deviated from the true teachings of Buddha. The reformists advocated a rational interpretation of Buddhist teachings, which they claimed to be authentic teachings of Buddha himself."
Winichakul,Bifurcation intellectual strategy,"Truths of the world could be divided primarily into two spheres of knowledge, the worldly matters and the spiritual matters."
Winichakul,Nangu sadaeng Kitchnukit (elaboration on major and minor matters),"Written by Chao Phraya Thipakorawong, the first third of the book denounces Hindu-Buddhist cosmology, the rest of the book turns to those issued concerning spirituality and teachings of various religions in response to critiques of Buddhism by a number of Christian missionaries."
Winichakul,Buxta Visatxana (Questions and answers),Explained basic Catholic beliefs and arguments against Buddhism (lord Buddha probably a saint but not a true God) Thai word for God used is the same that is used exclusively for Buddha
Winichakul,Phra Yahowa Chao,The holy highness Yahweh
Winichakul,Putcha Wisatahana,"Rewritten version of Buxta, but offense around putting Buddha under God rewritten and inclusion of distinctive Thai expression for God."
Winichakul,Tob batluang (reply to the priests),"A lecture given by Colonial Pin Muthukan was a strong and thorough rebuttal of Putcha, that satisfied the public point-by-point in the catechism format"
Winichakul,Sermons to the wild Tiger Corps,"Explains the significance of religion and describes each major religion in fairly rich detail, proceeded in textbook format where Buddhism takes up more than half the book."
Winichakul,Beliefs of Friends,"Four books on various religions written by Phraya Anuman Rajadhan, we should rely on friendships between countries much broader than before"
Winichakul,Latthi?,"Usually used for a pariochal ideology, a cult, or folk belief"
Winichakul,Satsana,"Belief in the causality of everything (Buddhism, Jainism, and Confucianism"
