section,question,answer
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was the highest official in the Habsburg Empire after the Congress of Vienna?,Prince Clemens von Metternich
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",France was included as one of the five great powers jointly known as what?,The Concert of Europe
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was the Concert of Europe supposed to do?,Prevent any major European war from breaking out
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was the name of the monarchy that was restored?,Bourbons
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did the Bourbon constitution provide?,"A parliament with an elected lower house, the Chamber of Deputies, and an appointed upper house (the Chamber of Peers"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was the “Peterloo Massacre?,A demonstration for universal suffrage from men and women alike led to the use of military force against peaceful demonstrators which shocked and outraged British Public
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did the Parliament pass following the Peterloo Massacre?,The ‘Six acts’ which outlawed freedom of assembly and effectively imposed censorship
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was the motto of Francis I?,“Rule and change nothing”
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What were the Carlsbad Decrees from 1819?,"It declared close supervision over the universities, censorship of the press, and dissolution of the youth groups"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",How did Russian Alexander I demonstrate his liberalism to the world?,By granting Poland a liberal constitution
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Why was Russian Alexander I granting Poland a liberal constitution hypocritical?,Because he offered no such constitution of his own people and did not abolish serfdom
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What is known as the Decembrists Uprising?,"When Alexander I died in December 1825, his younger brother Nicholas claimed to be the legal heir, but military conspirators plotted to put Constantine, his older brother, on the throne and a St Petersburg garrison rallied to the conspirators’ cause"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",How were supporters of the constitution in Spain also known?,Friends of liberty  Liberals
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Who returned to power in Spain in 1814 and what did he believe in?,"Ferdinand VII believed in the divine right of kings, had liberals arrested or driven into exile"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What two things coincided to produce the Revolution of 1820?,Military mutiny with a sympathetic provincial uprising
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Which book did Edmund Burke write and what did it express?,Reflections on the Revolution in France countered claims like rights of man and human equality a being abstract and dangerous
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Who wrote ‘Cheap Repository Tracts’ that advocated for the acceptance of the existing order and solace of religious faith?,Hannah More
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did Counterrevolutionary or ultraroyalist ideology aim for?,Restoring society to its pre-revolutionary condition
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was Romanticism?,"Rebellion against the rationalist values, expression of the arts that praised emotion and feeling"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Which book had the greatest influence on Romanticism?,Goethe’s ‘Sorrows of Werther’ about a hero who kills himself
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was Joseph Mallord William Turner known for?,Paintings of raw passions of the sea
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",How did religious emption express itself in England?,"Through Methodism led by preacher John Wesley, that argued salvation by faith made active in one’s life"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",How did romanticism challenge the cultural order?,Emotion and sentiment were congenial to audiences without elite education
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",How did the role of the artists change in romanticism?,"Cut of from royal patronage, artists had to depend on members of the new middle class, which led them to be seen as unconventional, the starving genius"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What is Nationalism?,Belief that people derive their identity from their nation and owe it their primary loyalty
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Where does Nationalism originate?,In Rousseau’s concept of the ‘general will’ constituting the sovereign nation
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What does Liberalism stand for?,Individual freedom as best safeguarded by reducing government powers to a minimum
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What does a liberal want?,"To impose constitutional limits on government, to establish rule of law, sweep away all restriction on individual enterprise and to ensure a voice in government of men of property and education"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Where does economic liberalism originate from?,Adam Smith’s Wealth of Nations
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What does David Ricardo argue in his ‘Principles of Political Economy’,The idea that the iron law of wages provided scientific justification for the exploitation of workers
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did Jeremy Bentham believe the purpose of government is?,"To provide the greatest happiness to the greatest number, a theory also known as utilitarianism"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did John Stuart Mill argue for in his ‘Principles of political economy’?,"The free circulation of ideas, even false ones, and he wrote that women should be permitted to vote to double the mass of mental faculties available for the higher service of humanity"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What does socialism stand for?,The social ownership of property as benefitting society as a whole
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did Gracchus Babeuf do?,He saw political equality as meaningless without economic equality and advocated for a revolution into a communist society
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What is “phalansteries”?,Charles Fourier’s vision of cooperative organizations
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",How did Louis Blanc think the common people could win control over the state?,By securing the vote
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Who was Karl Marx a disciple from?,BWF Hegel
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What happens in dialectial materialism?,The inequality of conditions existing in the economic order would engender opposition
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Nothing to lose but your…… ?,Chains
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did Charles X do?,"Tried to establish an Old Regime monarchy, promoted revival Catholicism, close rule unrestricted by constitution and also strict censorship"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was the nickname of Duke Louis Philippe after he was drafted to occupy the throne?,King of the French
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Where did single individuals own the right to a seat in parliament?,Pocket boroughs
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did the July revolution lead to?,"It encouraged the British liberals to push for reform, which led to the changing representation for sparsely populated areas and proposed lowering property qualifications for the vote  Great Reform Bill of 1832"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Why did the British expand their power into Africa?,To hinder its colonial rivals from benefitting from the slave trade
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",With what purpose was the Anti-Corn Law League founded?,Abolishing the tariffs on foreign grain imports that kept food prices so high
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",In which year were the Corn Laws repealed and why?,"In 1846 because of the famine in 1845, but did nothing to counter the impacts of the potato blight in Ireland from 1845 to 1852"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What did Tsar Nicholas I implement in order to suppress all challenges to authority?,"Modern Russian secret police called the “Third Section”, a little nationalism and minor reforms towards serfdom"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What had become of the Janissaries in the Ottoman Empire?,An undisciplined band that menaced the peoples and killed reform-minded Sultan Selim III
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What were the first people to revolt successfully against the Ottoman Empire?,Serbs
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",Who was recognized as governor and later as hereditary ruler over an autonomous Serbia?,Milosh Obrenovich
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What were the roots of the rebellion in 1848 in the countryside?,"Increased restrictions in access to land, village commons increasingly under private control, restrictions to firewood"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What were the roots of the rebellion in 1848 in the urban environment?,"Artisans being undercut by the putting-out system, crisis in the crafts hurting journeymen who wanted to be masters, guilds in decline"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What happened in Frankfurt in 1848?,"The first all-German elected legislature met to pursue unification (Grossdeutschland), they drew up a constitution in the spring of 1849 and offered the throne to Wilhelm IV"
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",How did nationalism manifest itself in the Habsburg empire?,In the form of demands for international independence
"Chapter 3: Nationalism and Political Reform, 1850-1880",What is realpolitik?,A policy in which war became a regular instrument of statecraft
"Chapter 3: Nationalism and Political Reform, 1850-1880",What led to war between Russia and the Ottoman Empire in 1853?,Russia claiming the right to protect Orthodox Christians within the predominantly Muslim Ottoman empire
"Chapter 3: Nationalism and Political Reform, 1850-1880",What led to the Crimean War?,"The British and French feared that if the Ottoman Empire collapsed after the Russian-Ottoman War this would lead to territorial gain for Russia, threatening British naval supremacy"
"Chapter 3: Nationalism and Political Reform, 1850-1880",Who was Florence Nightingale?,She was a Nurse who organized a nursing service to care for British sick and wounded in the Crimean war
"Chapter 3: Nationalism and Political Reform, 1850-1880",How did the Crimean war lead to the creation of new nation states?,It destroyed the alliance between Russia and Austria
"Chapter 3: Nationalism and Political Reform, 1850-1880",What are the defining characteristics of the Congress of Paris in 1856?,"Russia was forbidden to have a fleet in the Black Sea, French leaders were disappointed, it weakened the Ottoman Empire indirectly by dictating reforms in the treatment of its Christian populations"
"Chapter 3: Nationalism and Political Reform, 1850-1880",Which policy did British political leaders take on after the Congress of Paris?,Isolationism (no aid)
"Chapter 3: Nationalism and Political Reform, 1850-1880",What was Risorgimento?,A political and cultural renewal of Italy supported by elite groups
"Chapter 3: Nationalism and Political Reform, 1850-1880",Who became the beacon to the rest of Italy after the failed 1848 revolution?,"Piedmont-Sardinia, the only ones that kept the liberal constitution"
"Chapter 3: Nationalism and Political Reform, 1850-1880",How did Count Camillo di Cavour view the aspirations of the middle class?,He was sympathetic to them
"Chapter 3: Nationalism and Political Reform, 1850-1880",Who helped Piedmont in the cause of Italian liberation?,Napoleon III of France
"Chapter 3: Nationalism and Political Reform, 1850-1880",How did Napoleon III betray Cavour?,He broke the arrangement that he would only get Lombardy
"Chapter 3: Nationalism and Political Reform, 1850-1880",Who led the uprising on Sicily in May of 1860?,Garibaldi
"Chapter 3: Nationalism and Political Reform, 1850-1880",How did Garibaldi believe Italy could best achieve unity?,Under the king of Piedmont Sardinia
"Chapter 3: Nationalism and Political Reform, 1850-1880",When did Venetia cede to Italy?,After the defeat in the Austro-Prussian war or 1866
"Chapter 3: Nationalism and Political Reform, 1850-1880",What were the consequences of the France-Prussian war for Italy?,"It forced the French to evacuate Rome, which they had occupied since 1849, Rome became Italy’s capital in 1870"
"Chapter 3: Nationalism and Political Reform, 1850-1880",What led to a civil war breaking out in unified Italy?,The north behaving like a conquering state and other major divisions in language and economy
"Chapter 3: Nationalism and Political Reform, 1850-1880",How many states were loosely organized in the German Confederation since 1815?,38
"Chapter 3: Nationalism and Political Reform, 1850-1880",Why did Prussia have to back down from leadership in the German unification?,Opposition from Austria
"Chapter 3: Nationalism and Political Reform, 1850-1880",How was Otto von Bismarck known when he was appointed as minister president?,"A Prussian aristocrat with reactionary views, policies based on realpolitik and power by iron and blood"
"Chapter 3: Nationalism and Political Reform, 1850-1880",What was Zollverein?,"A customs union that included most German states but excluded Austria, it became more extensive with the passage of time and was an indispensable stage in the process toward political unity"
"Chapter 3: Nationalism and Political Reform, 1850-1880",What did Bismarck see as the only means to enlarge the role of royal power in Germany?,War against Austria
"Chapter 3: Nationalism and Political Reform, 1850-1880","Which Austrian-administered city did Prussia attack in July 1866, launching the Austro-Prussian war?",Hostein
"Chapter 3: Nationalism and Political Reform, 1850-1880",From which Prussian victory was Austria excluded from German affairs?,Battle of Sadowa
"Chapter 3: Nationalism and Political Reform, 1850-1880",Why did certain southern German states remain outside the North German Confederation?,They were reluctant because Catholic and sympathetic to Austria
"Chapter 3: Nationalism and Political Reform, 1850-1880",In which year did a military coup overthrow the Spanish queen Isabella and was the throne offered to a Catholic member of the reigning Prussian monarch family?,1868
"Chapter 3: Nationalism and Political Reform, 1850-1880",At which victory did the Prussians take the French emperor prisoner on September 2?,Sedan
"Chapter 3: Nationalism and Political Reform, 1850-1880",In which treaty were the French forced to give of Alsace and Lorraine?,Treaty of Frankfurt
"Chapter 3: Nationalism and Political Reform, 1850-1880","In the new Germany, what institution represented the individual German states?",Bundesrat
"Chapter 3: Nationalism and Political Reform, 1850-1880",How was the Reichstag elected?,by universal manhood suffrage
"Chapter 3: Nationalism and Political Reform, 1850-1880",Who came to the Austrian throne in 1848?,Franz Joseph
"Chapter 3: Nationalism and Political Reform, 1850-1880",What was in the February Patent in Austria-Hungary?,"A guarantee of civil liberties, provided for local self-government and a parliament elected by eligible males"
"Chapter 3: Nationalism and Political Reform, 1850-1880",What did the Compromise of 1867 include?,"It divided Habsburg holdings into Austria and Hungary, different territories still ruled by the same person emperor, but otherwise autonomy. It confirmed Magyar dominance in Hungary and opposed self-rule of other ethnic groups in the kingdom, gave Hungarians a voice in imperial foreign policy"
"Chapter 3: Nationalism and Political Reform, 1850-1880",What were the Young Turks?,Young intellectuals in the Ottoman empire impatient with the pace of change
"Chapter 3: Nationalism and Political Reform, 1850-1880",What happened in the Ottoman Empire in 1876?,Rioters demanded and won the establishment of constitutional government
"Chapter 3: Nationalism and Political Reform, 1850-1880",What congress removed Russia’s right of protection over Moldavia and Wallachia and provided a referendum to determine their future?,Congress of Paris 1856
"Chapter 3: Nationalism and Political Reform, 1850-1880",When did the Ottoman Empire recognize Romania?,1862
"Chapter 3: Nationalism and Political Reform, 1850-1880",What were the “Bulgarian Horrors”,"After an uprising in 1876, volunteers in the imperial army resorted to mass killing, looting and burning Christian villages"
"Chapter 3: Nationalism and Political Reform, 1850-1880",Which treaty ended the war between Russia and the Ottoman Empire that had started after the Bulgarian horrors?,Treaty of San Stefano signed March 1878
"Chapter 3: Nationalism and Political Reform, 1850-1880",What series of measures initiated an era of structural transformation in Russia in 1861?,Abolition of serfdom and government reform
"Chapter 3: Nationalism and Political Reform, 1850-1880",What is a mir?,A local peasant commune in Russia that determined how land was used and paid mortgages collectively
"Chapter 3: Nationalism and Political Reform, 1850-1880",What added to the increasing difficulty to administering Russia in the 1860s?,Population growth and the emancipation of serfs
"Chapter 3: Nationalism and Political Reform, 1850-1880",What are Zemstvos and when were they created?,"Village or regional governments in Russia created in 1864, which gave Russians the authority and opportunity to use initiative in local matters"
"Chapter 3: Nationalism and Political Reform, 1850-1880",What did the political situation in Britain look like until 1866?,"Five different parties vied for power, coalesced to support particular policies"
"Chapter 3: Nationalism and Political Reform, 1850-1880","Who headed the liberals and the conservatives in Britain, respectively?",William E. Gladstone and Benjamin Disraeli
"Chapter 3: Nationalism and Political Reform, 1850-1880",What led to the extension of suffrage in 1867?,The competition for power between the Liberals and the Conservatives
"Chapter 3: Nationalism and Political Reform, 1850-1880",What did the Second Reform Bill do?,"It lowered property qualifications for the vote, equalized electoral districts, which gave urban areas better representation"
"Chapter 3: Nationalism and Political Reform, 1850-1880",What did the adoption of the secret ballot in 1872 do?,Protected lower-class voters from intimidation
"Chapter 3: Nationalism and Political Reform, 1850-1880",When did the first 2 working class members join parliament?,1874
"Chapter 3: Nationalism and Political Reform, 1850-1880",Why did Louis Napoleon engineer a coup in 1851?,To extended the four-year presidential term to 10 years
"Chapter 3: Nationalism and Political Reform, 1850-1880",What were prefects in France?,Local administers appointed by the government that had helped produce favorable majorities by manipulating elections
"Chapter 3: Nationalism and Political Reform, 1850-1880",Who was the leader of the French republic after the emperor’s capture by German forces?,Adolphe Thiers
"Chapter 3: Nationalism and Political Reform, 1850-1880",What did the Paris Commune intend to do?,Establish a workers’ government under home rule
"Chapter 3: Nationalism and Political Reform, 1850-1880",Why did the Bourbon not get the throne after the uprisings of the Paris Commune?,He wanted a different flag
"Chapter 3: Nationalism and Political Reform, 1850-1880",What did French parliament do in 1875?,Approve a set of basic laws that became the constitution of the Third Republic
"Chapter 3: Nationalism and Political Reform, 1850-1880",Which two houses of parliament were established in Sweden in 1866?,Upper house of wealthiest landowners and a lower house with men of property
"Chapter 3: Nationalism and Political Reform, 1850-1880",In what year had Norway been joined to Sweden?,1814
"Chapter 3: Nationalism and Political Reform, 1850-1880",In what year did Norway separate from Sweden?,1905
"Chapter 4: The Age of Optimism, 1850-1880",What is the interrelated cluster of economic changes that began in the generation after 1850 often called?,The second industrial revolution
"Chapter 4: The Age of Optimism, 1850-1880",What was the second industrial revolution characterized by?,Significant speed up in production and introduction to new materials
"Chapter 4: The Age of Optimism, 1850-1880",What nickname does the second half of the nineteenth century also have?,“Age of steel”
"Chapter 4: The Age of Optimism, 1850-1880","Gold was discovered in two places during the second industrial revolution, where was this?",California and Australia
"Chapter 4: The Age of Optimism, 1850-1880",What did the discovery of gold during the second industrial revolution lead to?,The establishment of a modern banking system
"Chapter 4: The Age of Optimism, 1850-1880",What is the first name of the man who the Nobel Prize is named after?,Alfred
"Chapter 4: The Age of Optimism, 1850-1880",In which year the Orient Express?,1888
"Chapter 4: The Age of Optimism, 1850-1880",The French author Jules Verne wrote which book?,Around the world in 80 days
"Chapter 4: The Age of Optimism, 1850-1880",Who invented a machine capable of transmitting the human voice by electrical impulses in 1875?,Alexander Graham Bell
"Chapter 4: The Age of Optimism, 1850-1880",Why was the 19th century known as the bourgeoise century?,Because the middle classes not only expanded numerically but also had enormous social and cultural influence
"Chapter 4: The Age of Optimism, 1850-1880",What development let to a greater need for clerks and bureaucrats that for labourers?,Increasing use of machinery and better industrial organization
"Chapter 4: The Age of Optimism, 1850-1880",Who began running tours when tourism became big business?,Thomas Cook
"Chapter 4: The Age of Optimism, 1850-1880",What is ‘Victorian morality’?,Ethos wherein the strict moral principles of the dominant middle class became the social norm
"Chapter 4: The Age of Optimism, 1850-1880",Why is this time called ‘Victorian’?,Because the people saw the queen as a reflection of their own values
"Chapter 4: The Age of Optimism, 1850-1880",Which university was the first to admit women?,University of Zurich
"Chapter 4: The Age of Optimism, 1850-1880",What was the intention of the Factory Acts passed in Britain?,To regulate child and female labor by reducing the hours of the workweek
"Chapter 4: The Age of Optimism, 1850-1880",The Contagious Diseases Acts (1864) did what?,Empowered the police to arrest any woman suspected of prostitution and to force her to be examined for venereal disease
"Chapter 4: The Age of Optimism, 1850-1880",Which trend did Pope Leo XIII reflect and reinforce among Catholics in the Rerum Novarum?,Growing religious social consciousness
"Chapter 4: The Age of Optimism, 1850-1880",What made Social Catholics special?,They believed that society bore responsibility for the well-being of the poor
"Chapter 4: The Age of Optimism, 1850-1880",Why did the wages for farmhands rise?,There was a decrease in the number of agricultural workers as people kept leaving for the city
"Chapter 4: The Age of Optimism, 1850-1880",Why did yields get higher?,"Increased use of manure, chemical fertilizers and innovation in tools"
"Chapter 4: The Age of Optimism, 1850-1880",How did urban values spread to the countryside?,The military draft brough the young men of the village in contact with urban folk
"Chapter 4: The Age of Optimism, 1850-1880",Why were railroads bad for agricultural workers?,"They brough in goods from elsewhere, which wiped out some of the local markets on which the cottage industries had depended during slack seasons"
"Chapter 4: The Age of Optimism, 1850-1880",Why did social segregation happen in Paris?,"Because the most extensive plan of urban rebuilding took place, creating broad straight avenues and driving poor Parisians to the outskirts of the city"
"Chapter 4: The Age of Optimism, 1850-1880",What did the Public Health Bill of 1848 establish in England?,National standards for urban sanitation and required cities to regulate the installation of sewers
"Chapter 4: The Age of Optimism, 1850-1880",What were the initial goals of public education?,"Instill love of country, discipline and obedience to authority, as well as basic skills"
"Chapter 4: The Age of Optimism, 1850-1880",Who championed the notion that human development proceeded through distinct and irreversible historical stages and what was this movement called?,"August Comte, Positivism"
"Chapter 4: The Age of Optimism, 1850-1880",What did social Darwinism ‘justify’?,"Callousness toward the poor and home and toward imperial conquest abroad, also used to justify the inequality of the sexes"
"Chapter 4: The Age of Optimism, 1850-1880",What did Mendeleev make?,The periodic table
"Chapter 4: The Age of Optimism, 1850-1880",Which animal is related to vaccinations?,A cow
"Chapter 4: The Age of Optimism, 1850-1880",Why did anthropology develop?,"Due to increasing connection and trade, it offered a ‘scientific’ basis for racism"
"Chapter 4: The Age of Optimism, 1850-1880",What idea this Edward Tylor have?,That African people were just at an earlier stage of development than the Europeans
"Chapter 4: The Age of Optimism, 1850-1880",In which year did the papacy lose most of its domains to Italy?,1860
"Chapter 4: The Age of Optimism, 1850-1880","Which document did Pope Pius IX issue in which he condemned a long list of faults that included progress, liberalism, and modern civilization?",The “Syllabus of errors”
"Chapter 4: The Age of Optimism, 1850-1880",What did the political alliance the Catholic Church struck with reactionary forces mean?,"That when new political groups came to power, they moved against the Church"
"Chapter 4: The Age of Optimism, 1850-1880",Which movement rejected traditional forms of cultural expression and embraced new ones?,Modernism
"Chapter 4: The Age of Optimism, 1850-1880",Why did photography have direct impact on artistic perspectives?,"People did not need painters to make exact reproductions anymore, which meant that the painters could let loose and have fun with it (rise of impressionism)"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What is ‘new imperialism’?,"An era of European overseas expansion launched in the 1880s. Europeans subjugated 500 million people in Africa and Asia. It was centered on Africa and Asia, rather than America like before."
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914","Lack of profitability mattered little to many proponents of empire, what was empire instead used as an outlet for?",A variety of domestic frustrations and resettling the poor
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why did Britain establish a protectorate over Egypt in 1882?,Because of the Suez Canal
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",When and how did the “Great Game played by Russia and Britain in central Asia end?,"In 1907, with the signing of the Anglo-Russian Entente"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",How was the public support for further expansion of the empire expressed?,By the founding of various colonial societies (British Primrose League as example)
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What demonstrably assured European power overseas?,"Rapid-fire weapons, steam-driven gunboats and oceangoing vessels"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What exacerbated the prolonged decline in effective rule of the Chinese government?,The defeat in war with Japan in 1895
