section,question,answer
Week 3,Edict of Nantes,Was signed into law in 1598 by King Henry IV of France and provided religious tolerance as well as civil rights to the Huguenots (French Calvinist Protestants) in a predominantly Roman Catholic country. It was revoked in 1685 by Louis XIV.
Week 3,Francis Xavier,"A Navarrese cleric and missionary. He co-founded the Society of Jesus (Jesuits) and, as a representative of the Portuguese Empire, led the first Christian mission to Japan."
Week 3,Fraternities,"Primarily took the form of confraternities (lay religious brotherhoods) and trade guilds. These groups operated as the backbone of civil society, providing social welfare, charitable support, and a defined sense of community."
Week 3,Ghetto,"A part of a city in which members of a minority group are concentrated, especially as a result of political, social, legal, religious, environmental or economic pressure."
Week 3,Huldrych Zwingli,"Swiss Christian theologian, musician and leader of the reformation in Switzerland, influenced by the writings of Erasmus. He had a more radical and confrontational stance compared to Luther."
Week 3,Iconoclasm,The deliberate destruction of images depicting religious figures and monuments.
Week 3,Ignatius Loyola,"A Spanish man that founded the Society of Jesus, Jesuits. He excelled in preaching, teaching and missionary activity."
Week 3,Index librorum prohibitorum,A list of books banned for lay Roman Catholic leadership confirmed in the final sessions of the council of Trent.
Week 3,Inquisition,"A Catholic judicial procedure in which ecclesiastical judges could initiate, investigate and try cases in their jurisdiction. (popularly refers to the combatting of heresy)"
Week 3,John Calvin,Initial leader of the most successful and expansionist branch of the Reformed movement from his base in Geneva.
Week 3,Martin Luther,Wrestled for years with the fundamental teaching of the Church until 1517 when he wrote 95 theses. First dispute over indulgences.
Week 3,Millenarianism,"The idea of a thousand-year kingdom of the saints before the last judgement, broadly used to describe general expectations of imminent racial betterment on Earth that this idea has sparked throughout Christian history."
Week 3,Moriscos,Former Muslims and their descendants who the Catholic Church and Habsburg Spain commanded to forcibly convert to Christianity or face compulsory exile after Spain outlawed Islam.
Week 3,Priesthood of all believers,"Expressed Luther’s views that all were in direct communication with God, enjoying “Christian Freedom.”"
Week 3,Sacraments,"The Catholic Church has seven things to do to fully be in the religion: Baptism, Eucharist, Confirmation, Reconciliation, Anointing of the Sick, Marriage and Holy orders."
Week 3,Sola fide/ justification by faith alone,"The central teaching of the Lutheran Reformation, that all sins are forgiven through faith, which stands apart from good works of religious deeds. Protestants traditionally believe this is the cornerstone of Christianity."
Week 3,Sola Scriptura,The Christian theological doctrine held by most Protestant Christian denominations that posits the bible as the sole infallible source of authority for Christian faith and practice. The Catholic Church considers it heresy because it means we do not listen to the pope.
Week 3,Toleration,Putting up with several religious minorities living in the same borders for grudging pragmatic reasons. Recognized by the Act of Toleration of 1689.
Week 3,Transubstantiation,The idea that when the Eucharist is consumed the bread and wine actually transform into the flesh and blood of Christ.
Week 4,Absolutism,A form of government in which the authority of the ruler is subject to no theoretical or legal constraints.
Week 4,Albrecht von Wallenstein,"A soldier and statesman who commanded the armies of the Holy Roman emperor Ferdinand II in the Bohemian Revolt. Through a series of plots to undermine the emperor and enhance is own power, he was alienated from Ferdinand and eventually assassinated."
Week 4,Battle of Lepanto,Naval engagement in 1571 between allied Christian forces and the ottoman Turks during an Ottoman campaign to acquire the Venetian island of Cyprus. Marked the beginning of Ottoman decline.
Week 4,Charles V,"Holy Roman Emperor from 1519, King of Castile and Aragon from 1516, and Lord of the Low Countries as Duke of Burgundy from 1506."
Week 4,Composite monarchy,"Early modern states consisting of several countries under one ruler, sometimes designated as a personal union, who governs his territories as if they were separate kingdoms, in accordance with local traditions and legal structures"
Week 4,Comuneros revolt,An uprising by the citizens of Castile against the rule of Charles I and his administration between 1520 and 1521.
Week 4,Devshirme,The Ottoman practice of forcibly recruiting soldiers and bureaucrats from among the children of their Balkan Christian subjects and raising them to be Islamic soldiers.
Week 4,Dynastic politics,Refers to when state power and sovereignty are deeply intertwined with the royal family's bloodline and biological life cycles.
Week 4,Estates/Parliament/Diet,"Legislative assemblies in certain countries, regular meeting of the states of a confederation."
Week 4,Francis I,"Ruler of France from 1515 until his death in 1547,"
Week 4,Frederick V,King of Bohemia who ended his reign early 1620 following his defeat by Catholic forces at the battle of the White Mountain.
Week 4,Gustavus Adolphus Vasa,A large Swedish warship commissioned by King Gustavus Adolphus in 1625.
Week 4,Intendant,A title used by officials in civil administration.
Week 4,Jean Bodin,"Lawyer, economist, natural philosopher, historian and one of the major political theorists of the 16th century."
Week 4,Machiavelli,Renaissance man who wrote the prince on monarchies and discources on republics.
Week 4,Patronage,"A political system of allegiances founded upon pensions, rewards and prerogatives, extended the reach of the court to encompass all levels of government."
Week 4,Peace of Westphalia,A series of treaties signed in the Westphalian cities of Osnabrück and Münster that ended the Thirty Years’ War and Eighty Years’ War
Week 4,Philip II,"Son of Charles V that ruled over a unified Spain, as well as other places."
Week 4,Richelieu,"A French clergyman, noble and statesman that became Louis XIII’s chief minister in 1616 and transformed France into a strongly centralized state."
Week 4,Roman law,The legal system of Western Europe through the early modern period
Week 4,Spanish Armada,"A Spanish fleet that sailed to the English Channel to team up with others and escort an invasion force that would land in England and overthrow Elizabeth I. (to reinstate Catholicism in England, did not work)"
Week 4,Szlachta,Proper term for Polish nobility beginning about the 15th century.
Week 4,Thirty Years’ War,"Began as a fight about religion between Protestants and Catholics, almost all of the powerful countries in Europe got involved and it ended with the Treaty of Westphalia."
Week 4,Thomas Hobbes,"An English philosopher, best known for his explanation of the role of government as an insurer of security, which has had an enduring influence on understandings of political philosophy."
Week 5,Aztecs,"A pre-Columbian Mesoamerican people of central Mexico. They are most known for their advanced, dominant empire based in Tenochtitlan."
Week 5,Babur of Kabul,Founder of the Mughal empire in the Indian subcontinent.
Week 5,Bartolomé Dias,A Portuguese explorer who was the first European to sail past the Cape of Good hope.
Week 5,Colonialism,"When one powerful country takes control of another, weaker territory, often by force, to steal its resources, land and labour."
Week 5,East India Companies,A general term referring to a number of European trading companies established in the early modern era to establish trade relations and political control in East Asia.
Week 5,Encomienda,A system in Spanish America in which local indigenous inhabitants were forced to work as peonage on local plantations and in the mines.
Week 5,Entrepôt,"A transshipment port, city or trading post where merchandise may be imported, stored or traded, usually to be exported again."
Week 5,Estado da India,A state of the Portuguese empire founded seven years after the discovery of a sea route. Served as the governing centre of a string of military forts.
Week 5,Factories/feitorias,"Portuguese fortified trade posts used by merchants to deal in a number of different goods,"
Week 5,Henry the navigator,Founder of the Portuguese empire and a patron of explorers.
Week 5,Ming dynasty,A Chinese dynasty that lasted from 1368 to 1644 and provided an interval of native Chinese rule between eras of Mongol and Manchu dominance.
Week 5,Mughal empire,"An early modern empire that ruled most of the Indian subcontinent, said to have been founded in 1526 by Babur."
Week 5,Suleyman the Magnificent,"The Ottoman sultan from 1520 to 1566. The longest reign among the Ottoman Sultans, his rule brought about a notable peak in the Ottoman Empire’s economic, military and political power, and raised the number of the empire’s subjects."
Week 5,Syncretism,"A Union or attempted fusion of different religions, cultures, or philosophies."
Week 5,Treaty of Tordesillas,"In 1494, Spain and Portugal agreed to fix the boundary between their respective domains along a meridian."
Week 5,Triangular trade,"The trade in textiles, rum and manufactures goods to Africa, from where slaves were taken to the Americas. From the Americas sugar, tobacco and cotton were exported back to Europe."
Week 6,Academies,"Groupings of artists whose aim was to improve the social and professional standing of artists, as well as to provide teaching."
Week 6,Andreas Vesalius,"A Flemish anatomist, physician, and author. He wrote one of the most influential books on human anatomy, De humani corporis fabrica (on the fabric of the human body)."
Week 6,Coffeehouse,"Served as public social places where men could meet up for conversation and commerce, helped facilitate the spread of ideas."
Week 6,Demonology,"The study of demons of evil spirits, rose to prominence in the 15th century and was propagated via a number of printed pamphlets and tracks."
Week 6,Descartes,A famous French philosopher and physicist. Came to the conclusion that he could doubt everything except his own existence: “I think therefore I am”.
Week 6,Encyclopédie,A book or set of books giving information on many subjects or on many aspects of one subject and typically arranged alphabetically.
Week 6,Enlightened despotism,"A ruler with absolute power (a despot) who embraces Enlightenment ideals, such as the rights and liberties of individuals, and chooses to use their absolute power to better the lives of average citizens."
Week 6,Experimental philosophy,"Regarded experiments and observations as having epistemic priority over substantive claims and theories, and they held that we should firmly commit ourselves only to those substantive claims and theories that are confirmed by observations and experiments."
Week 6,Galen of Pergamon,"A prominent Roman (of Greek ethnicity) physician, surgeon and philosopher. Considered to be one of the most accomplished of all medical researchers of antiquity."
Week 6,Galileo Galilei,"Influential Italian Polymath that came to accept the heliocentric model as reality, which brought him in trouble with the Church"
Week 6,Heliocentrism,The astronomical model placing the sun at the centre of the solar system.
Week 6,Humours,"A system of medicine detailing a supposed makeup and workings of the human body, adopted by Ancient Greek and Roman physicians and philosophers. Black bile, phlegm, red or yellow bile, and blood."
Week 6,Immanuel Kant,One of the most influential philosophers. Described enlightenment as “man’s release from his self-incurred immaturity”
Week 6,Isaac Newton,An English polymath. He was a key figure in the Scientific Revolution and in the Enlightenment that followed. His book achieved the first great unification in physics and established classical mechanics.
Week 6,Maria Sibylla Merian,"A remarkable entomologist and incredible artist, she drew flora and fauna. She travelled to and did research in Dutch Surinam."
Week 6,Natural philosophy,"An umbrella term to designate the study of nature, before it could easily be identified with what we call science today. Systematic and research-based study of nature and the physical universe."
Week 6,Nicolaus Copernicus,A Polish astronomer that presented heliocentrism as a mathematical model.
Week 6,Non-Naturals,"Air, rest or motion, sleep or wakefulness, food and drink, excretion or retention of bodily substances, and emotions. They were the 6 lifestyle factors in the humoral theory."
Week 6,Salon,Social and intellectual gatherings that played an integral role in cultural development. Seen by contemporary writers as cultural hub for the middle class an aristocracy.
Week 6,William Harvey,An English physician who made influential contributions to anatomy and physiology. He was the first known physician to describe completely pulmonary and systematic circulation.
Week 7,Ancién regime,"The social and political order that existed in France from the late Middle ages until the French revolution, under which all men were subjects of the king of France"
Week 7,Balance of Power,"Part of the anti-hegemonic argumentation which argued for peace in the European order, although it was often used as an excuse for war."
Week 7,Fiscal-military state,"A state that bases its economic model on the sustainment of its armed forces, usually in times of prolonged or severe conflict."
Week 7,Louis XIV,"Often seen as a typical example of absolutism, longest reigning king ever, also known as sun king."
Week 7,Militia,"An armed force composed of civilian volunteers, historically serving both political and military purposes."
Week 7,Nine Years’ War,The Nine Years' War was a European great power conflict from 1688 to 1697 between France and the Grand Alliance.
Week 7,Robe/Sword nobility,"Distinction among nobility. Sword had greater prestige and held power, robe bought their positions and had higher income."
Week 7,Seven years’ War,"The Seven Years' War, 1756 to 1763, was a global war fought by numerous great powers, primarily in Europe, with significant subsidiary campaigns in North America and the Indian subcontinent."
Week 7,War of the Austrian Succession,"Fought over Archduchess Maria Theresa’s succession to the Habsburg monarchy, that was not allowed and gave France and Prussia an opportunity to challenge Habsburg power."
Week 7,War of the Spanish succession,Death of Charles II of Spain without children led to a succession crisis. Philip of Anjou was backed by Spain and Archduke Charles of Austria by the grand alliance. Threatened European balance of power. Philip won.
